home,away,close_time,pre_close_mid
TOR,NYK,2025-12-01 01:39:43.241996+00:00,0.74
OKC,POR,2025-12-01 01:39:43.507680+00:00,0.855
ATL,PHI,2025-12-01 02:24:31.131433+00:00,0.425
SAS,MIN,2025-12-01 02:44:37.407267+00:00,0.615
MEM,SAC,2025-12-01 04:54:28.718174+00:00,0.58
MIL,WAS,2025-12-02 02:34:55.660659+00:00,0.795
CLE,IND,2025-12-02 02:49:49.901869+00:00,0.635
ATL,DET,2025-12-02 02:49:50.757445+00:00,0.225
LAC,MIA,2025-12-02 03:14:48.788473+00:00,0.305
CHA,BKN,2025-12-02 03:14:49.531174+00:00,0.365
CHI,ORL,2025-12-02 03:39:35.718832+00:00,0.235
DAL,DEN,2025-12-02 04:34:31.119045+00:00,0.185
HOU,UTA,2025-12-02 05:09:34.245267+00:00,0.835
PHX,LAL,2025-12-02 05:39:37.040150+00:00,0.665
WAS,PHI,2025-12-03 02:29:52.643385+00:00,0.865
POR,TOR,2025-12-03 03:19:45.822561+00:00,0.345
NYK,BOS,2025-12-03 03:49:49.023879+00:00,0.485
MIN,NOP,2025-12-03 03:59:50.096140+00:00,0.855
MEM,SAS,2025-12-03 04:04:28.012208+00:00,0.355
OKC,GSW,2025-12-03 06:44:30.923780+00:00,0.175
POR,CLE,2025-12-04 02:40:22.091546+00:00,0.825
SAS,ORL,2025-12-04 02:44:54.598126+00:00,0.735
DEN,IND,2025-12-04 02:54:46.318606+00:00,0.765
LAC,ATL,2025-12-04 03:00:12.366915+00:00,0.545
CHA,NYK,2025-12-04 03:10:00.871773+00:00,0.22
BKN,CHI,2025-12-04 03:34:35.843896+00:00,0.255
SAC,HOU,2025-12-04 03:49:53.195346+00:00,0.895
DET,MIL,2025-12-04 03:54:36.020682+00:00,0.635
MIA,DAL,2025-12-04 04:00:22.262525+00:00,0.375
BOS,WAS,2025-12-05 02:29:54.471337+00:00,0.805
GSW,PHI,2025-12-05 02:44:42.213037+00:00,0.385
UTA,BKN,2025-12-05 03:14:38.828220+00:00,0.375
LAL,TOR,2025-12-05 03:14:38.836473+00:00,0.445
MIN,NOP,2025-12-05 03:39:36.373457+00:00,0.835
LAL,BOS,2025-12-06 02:40:03.867314+00:00,0.745
MIA,ORL,2025-12-06 02:45:04.078733+00:00,0.345
UTA,NYK,2025-12-06 03:14:58.424434+00:00,0.885
DEN,ATL,2025-12-06 03:15:07.908174+00:00,0.405
CHA,TOR,2025-12-06 03:19:50.650116+00:00,0.285
SAS,CLE,2025-12-06 03:19:51.167078+00:00,0.625
PHX,HOU,2025-12-06 03:30:04.812248+00:00,0.785
LAC,MEM,2025-12-06 03:30:05.414576+00:00,0.545
POR,DET,2025-12-06 03:39:51.561875+00:00,0.755
IND,CHI,2025-12-06 03:39:51.825904+00:00,0.64
PHI,MIL,2025-12-06 03:44:37.669197+00:00,0.465
DAL,OKC,2025-12-06 05:14:36.146520+00:00,0.115
NOP,BKN,2025-12-07 00:24:42.753874+00:00,0.615
ATL,WAS,2025-12-07 02:34:43.104548+00:00,0.785
GSW,CLE,2025-12-07 03:14:40.110091+00:00,0.765
MIL,DET,2025-12-07 03:19:56.167007+00:00,0.845
SAC,MIA,2025-12-07 03:34:36.288276+00:00,0.755
LAC,MIN,2025-12-07 03:44:39.486259+00:00,0.225
HOU,DAL,2025-12-07 04:00:14.968608+00:00,0.285
ORL,NYK,2025-12-07 19:50:26.268347+00:00,0.535
BOS,TOR,2025-12-07 23:02:16.537056+00:00,0.575
DEN,CHA,2025-12-08 01:34:38.399540+00:00,0.185
POR,MEM,2025-12-08 01:50:22.888176+00:00,0.535
GSW,CHI,2025-12-08 02:29:51.579345+00:00,0.485
LAL,PHI,2025-12-08 03:09:38.526571+00:00,0.595
OKC,UTA,2025-12-08 03:44:34.847419+00:00,0.825
SAC,IND,2025-12-09 02:39:42.773863+00:00,0.6
PHX,MIN,2025-12-09 03:20:10.874379+00:00,0.785
SAS,NOP,2025-12-09 03:44:34.233570+00:00,0.215
MIA,ORL,2025-12-10 01:50:24.396285+00:00,0.485
NYK,TOR,2025-12-10 04:24:34.733247+00:00,0.685
PHX,OKC,2025-12-11 03:00:34.475393+00:00,0.895
SAS,LAL,2025-12-11 05:49:47.946541+00:00,0.715
LAC,HOU,2025-12-12 04:54:30.762183+00:00,0.775
BOS,MIL,2025-12-12 04:54:31.636021+00:00,0.795
POR,NOP,2025-12-12 04:54:31.784302+00:00,0.385
DEN,SAC,2025-12-12 05:24:31.572049+00:00,0.815
CHI,CHA,2025-12-13 02:40:21.854314+00:00,0.435
IND,PHI,2025-12-13 02:50:22.484957+00:00,0.33
CLE,WAS,2025-12-13 02:54:36.672108+00:00,0.895
ATL,DET,2025-12-13 03:00:53.736411+00:00,0.295
UTA,MEM,2025-12-13 03:54:34.582907+00:00,0.705
BKN,DAL,2025-12-13 04:04:32.927423+00:00,0.265
MIN,GSW,2025-12-13 05:54:28.731257+00:00,0.635
NYK,ORL,2025-12-14 01:34:31.228251+00:00,0.635
SAS,OKC,2025-12-14 05:06:14.451512+00:00,0.815
WAS,IND,2025-12-14 22:50:01.101493+00:00,0.775
CHA,CLE,2025-12-14 23:30:48.682855+00:00,0.165
MIL,BKN,2025-12-15 01:24:43.542389+00:00,0.465
PHI,ATL,2025-12-15 01:44:42.986392+00:00,0.635
SAC,MIN,2025-12-15 02:34:39.453431+00:00,0.805
NOP,CHI,2025-12-15 02:50:14.729386+00:00,0.615
LAL,PHX,2025-12-15 04:10:11.578568+00:00,0.475
